device_id,waitlisted_event_count,finalist_event_count,invited_event_count,uninvited_event_count,total_event_interactions
device_002,2,38,0,0,40
device_003,3,33,0,0,36
device_005,1,37,2,0,40
device_006,1,30,2,0,33
device_007,3,32,0,0,35
device_008,2,31,1,0,34
device_010,4,35,1,0,40
device_011,3,36,1,0,40
device_012,4,31,0,0,35
device_013,2,37,1,0,40
device_014,2,36,2,0,40
device_015,1,36,3,0,40
device_016,1,38,1,0,40
device_017,1,38,1,0,40
device_018,1,36,0,0,37
device_019,1,39,0,0,40
device_020,4,34,2,0,40
device_022,2,29,3,0,34
device_023,4,36,0,0,40
