event_id,device_id,stage
event_001,device_007,finalist
event_001,device_015,finalist
event_001,device_022,finalist
event_001,device_019,finalist
event_001,device_013,finalist
event_001,device_008,finalist
event_001,device_010,finalist
event_001,device_006,finalist
event_001,device_012,finalist
event_001,device_011,finalist
event_001,device_020,finalist
event_001,device_014,finalist
event_001,device_005,finalist
event_001,device_023,finalist
event_001,device_017,finalist
event_001,device_003,finalist
event_001,device_018,finalist
event_001,device_016,finalist
event_001,device_002,finalist
event_002,device_013,finalist
event_002,device_016,finalist
event_002,device_002,finalist
event_002,device_022,finalist
event_002,device_007,finalist
event_002,device_011,finalist
event_002,device_020,finalist
event_002,device_014,finalist
event_002,device_003,finalist
event_002,device_019,finalist
event_002,device_023,finalist
event_002,device_018,finalist
event_002,device_017,finalist
event_002,device_008,finalist
event_002,device_005,finalist
event_002,device_015,finalist
event_002,device_010,finalist
event_002,device_006,reselected
event_003,device_016,finalist
event_003,device_017,finalist
event_003,device_005,finalist
event_003,device_006,finalist
event_003,device_015,finalist
event_003,device_012,finalist
event_003,device_007,finalist
event_003,device_020,finalist
event_003,device_013,finalist
event_003,device_011,finalist
event_003,device_022,finalist
event_003,device_023,finalist
event_003,device_019,finalist
event_003,device_010,finalist
event_003,device_002,finalist
event_003,device_008,finalist
event_003,device_014,finalist
event_003,device_003,finalist
event_004,device_003,waitlisted
event_004,device_014,waitlisted
event_004,device_023,waitlisted
event_004,device_008,waitlisted
event_004,device_013,finalist
event_004,device_007,finalist
event_004,device_012,finalist
event_004,device_018,finalist
event_004,device_002,finalist
event_004,device_005,finalist
event_004,device_016,finalist
event_004,device_019,finalist
event_004,device_017,finalist
event_004,device_015,selected
event_004,device_022,selected
event_004,device_010,selected
event_004,device_011,selected
event_004,device_020,selected
event_005,device_005,waitlisted
event_005,device_016,waitlisted
event_005,device_022,waitlisted
event_005,device_014,waitlisted
event_005,device_011,waitlisted
event_005,device_002,finalist
event_005,device_017,finalist
event_005,device_018,finalist
event_005,device_020,finalist
event_005,device_010,finalist
event_005,device_006,finalist
event_005,device_012,finalist
event_005,device_015,finalist
event_005,device_019,finalist
event_005,device_023,finalist
event_005,device_003,finalist
event_005,device_008,finalist
event_005,device_013,finalist
event_006,device_008,finalist
event_006,device_019,finalist
event_006,device_023,finalist
event_006,device_007,finalist
event_006,device_003,finalist
event_006,device_002,finalist
event_006,device_022,finalist
event_006,device_015,finalist
event_006,device_016,finalist
event_006,device_014,finalist
event_006,device_005,finalist
event_006,device_013,finalist
event_006,device_011,finalist
event_006,device_010,finalist
event_006,device_017,finalist
event_006,device_020,finalist
event_006,device_006,finalist
event_006,device_012,finalist
event_007,device_005,finalist
event_007,device_023,finalist
